entry_idx,exit_idx,symbol,entry_time,exit_time,entry_qty,entry_leverage,exit_pnl_percent,time_diff_sec,score,entry_session,exit_session,time_diff_minutes,pnl_direction,is_loss
0,0,DOT/USDT,2026-03-20 17:19:15,2026-03-20 19:29:33,9.8555,2.0,-0.66,7818.0,11418.0,live_trading_session_20260320_171733.log,live_trading_session_20260320_182857.log,130.3,0,1
1,4,WIF/USDT,2026-03-20 18:58:08,2026-03-21 00:37:15,83.1025,1.0,-0.06,20347.0,23947.0,live_trading_session_20260320_182857.log,live_trading_session_20260320_233554.log,339.1166666666667,0,1
2,1,DOT/USDT,2026-03-20 19:35:09,2026-03-20 19:35:14,9.9404,2.0,-0.07,5.0,5.0,live_trading_session_20260320_182857.log,live_trading_session_20260320_182857.log,0.08333333333333333,0,1
3,2,AAVE/USDT,2026-03-20 20:01:30,2026-03-20 21:19:43,0.1356,2.0,-0.49,4693.0,8293.0,live_trading_session_20260320_182857.log,live_trading_session_20260320_211553.log,78.21666666666667,0,1
4,6,DOT/USDT,2026-03-20 21:21:41,2026-03-21 01:59:39,9.9734,2.0,-0.46,16678.0,20278.0,live_trading_session_20260320_211553.log,live_trading_session_20260321_015823.log,277.96666666666664,0,1
6,5,AAVE/USDT,2026-03-20 23:39:11,2026-03-21 01:27:13,0.1343,2.0,-0.22,6482.0,10082.0,live_trading_session_20260320_233554.log,live_trading_session_20260321_012601.log,108.03333333333333,0,1
7,11,DOT/USDT,2026-03-21 01:27:41,2026-03-21 22:19:27,9.9536,2.0,-0.86,75106.0,78706.0,live_trading_session_20260321_012601.log,live_trading_session_20260321_221805.log,1251.7666666666667,0,1
8,7,TAO/USDT,2026-03-21 02:18:09,2026-03-21 02:27:01,0.055,1.0,-0.15,532.0,4132.0,live_trading_session_20260321_015823.log,live_trading_session_20260321_022540.log,8.866666666666667,0,1
9,10,XRP/USDT,2026-03-21 02:44:30,2026-03-21 11:07:22,10.3941,2.0,-0.08,30172.0,33772.0,live_trading_session_20260321_022540.log,live_trading_session_20260321_100553.log,502.8666666666667,0,1
