symbol,n_trades,avg_pnl_usd,total_pnl_usd,win_rate,expectancy_per_trade_usd
BONK/USDT,100,-0.05028511763219546,-5.028511763219546,0.09,-0.05028511763219546
DOT/USDT,8,-0.1369961084038112,-1.0959688672304897,0.375,-0.1369961084038112
ORDI/USDT,7,-0.17297153308072222,-1.2108007315650555,0.42857142857142855,-0.17297153308072222
