top_pct,n_base,total_pnl_base,n_rich,total_pnl_rich
1,33,0.5093524835757234,0,0
2,33,0.5093524835757234,0,0
3,33,0.5093524835757234,0,0
4,33,0.5093524835757234,0,0
5,33,0.5093524835757234,0,0
6,33,0.5093524835757234,0,0
7,33,0.5093524835757234,0,0
8,33,0.5093524835757234,0,0
9,33,0.5093524835757234,0,0
10,33,0.5093524835757234,0,0
11,33,0.5093524835757234,0,0
12,33,0.5093524835757234,0,0
13,33,0.5093524835757234,0,0
14,33,0.5093524835757234,0,0
15,33,0.5093524835757234,0,0
16,33,0.5093524835757234,0,0
17,33,0.5093524835757234,0,0
18,33,0.5093524835757234,0,0
19,33,0.5093524835757234,0,0
20,33,0.5093524835757234,0,0
21,33,0.5093524835757234,0,0
22,33,0.5093524835757234,0,0
23,33,0.5093524835757234,0,0
24,33,0.5093524835757234,0,0
25,33,0.5093524835757234,0,0
26,105,0.014617969570538958,0,0
27,105,0.014617969570538958,0,0
28,105,0.014617969570538958,0,0
29,105,0.014617969570538958,0,0
30,105,0.014617969570538958,0,0
31,105,0.014617969570538958,0,0
32,105,0.014617969570538958,0,0
33,105,0.014617969570538958,0,0
34,105,0.014617969570538958,0,0
35,105,0.014617969570538958,0,0
36,105,0.014617969570538958,0,0
37,105,0.014617969570538958,0,0
38,105,0.014617969570538958,0,0
39,105,0.014617969570538958,0,0
40,105,0.014617969570538958,0,0
41,105,0.014617969570538958,0,0
42,105,0.014617969570538958,0,0
43,105,0.014617969570538958,0,0
44,105,0.014617969570538958,0,0
45,105,0.014617969570538958,0,0
46,105,0.014617969570538958,0,0
47,105,0.014617969570538958,0,0
48,105,0.014617969570538958,0,0
49,105,0.014617969570538958,0,0
50,105,0.014617969570538958,0,0
