threshold,n_trades,win_rate,avg_pnl_usd,expectancy
1e-05,0,,,
3.111111111111111e-05,0,,,
5.222222222222222e-05,0,,,
7.333333333333333e-05,0,,,
9.444444444444444e-05,0,,,
0.00011555555555555555,0,,,
0.00013666666666666666,0,,,
0.00015777777777777776,0,,,
0.00017888888888888889,0,,,
0.0002,0,,,
0.0003,0,,,
0.00039999999999999996,0,,,
0.0005,0,,,
0.0006000000000000001,0,,,
0.0007000000000000001,0,,,
0.0008000000000000001,0,,,
0.0009,0,,,
0.001,0,,,
0.002,0,,,
0.0028888888888888888,0,,,
0.003777777777777778,0,,,
0.004666666666666667,0,,,
0.005555555555555556,0,,,
0.0064444444444444445,0,,,
0.007333333333333334,0,,,
0.008222222222222223,0,,,
0.009111111111111111,0,,,
0.01,0,,,
