target_vol,top_pct,base_trades,base_pnl,rich_trades,rich_pnl
0.003,1,15,1.2453960214051818,4,0.5456344977949658
0.003,2,15,1.2453960214051818,4,0.5456344977949658
0.003,3,15,1.2453960214051818,4,0.5456344977949658
0.004,1,15,1.2453960214051818,4,0.5456344977949658
0.004,2,15,1.2453960214051818,4,0.5456344977949658
0.004,3,15,1.2453960214051818,4,0.5456344977949658
0.005,1,15,1.2453960214051818,4,0.5456344977949658
0.005,2,15,1.2453960214051818,4,0.5456344977949658
0.005,3,15,1.2453960214051818,4,0.5456344977949658
0.006,1,15,1.2453960214051818,4,0.5456344977949658
0.006,2,15,1.2453960214051818,4,0.5456344977949658
0.006,3,15,1.2453960214051818,4,0.5456344977949658
0.007,1,15,1.2453960214051818,4,0.5456344977949658
0.007,2,15,1.2453960214051818,4,0.5456344977949658
0.007,3,15,1.2453960214051818,4,0.5456344977949658
0.008,1,15,1.2453960214051818,4,0.5456344977949658
0.008,2,15,1.2453960214051818,4,0.5456344977949658
0.008,3,15,1.2453960214051818,4,0.5456344977949658
0.009,1,15,1.2453960214051818,4,0.5456344977949658
0.009,2,15,1.2453960214051818,4,0.5456344977949658
0.009,3,15,1.2453960214051818,4,0.5456344977949658
0.01,1,15,1.2453960214051818,4,0.5456344977949658
0.01,2,15,1.2453960214051818,4,0.5456344977949658
0.01,3,15,1.2453960214051818,4,0.5456344977949658
