target_vol,top_pct,base_trades,base_pnl,rich_trades,rich_pnl
0.005,1,15,1.2453960214051818,4,0.5456344977949658
0.005,2,15,1.2453960214051818,4,0.5456344977949658
0.005,5,15,1.2453960214051818,4,0.5456344977949658
0.005,10,15,1.2453960214051818,5,-0.24969846403284052
0.01,1,15,1.2453960214051818,4,0.5456344977949658
0.01,2,15,1.2453960214051818,4,0.5456344977949658
0.01,5,15,1.2453960214051818,4,0.5456344977949658
0.01,10,15,1.2453960214051818,5,-0.24969846403284052
0.02,1,15,1.2453960214051818,4,0.5456344977949658
0.02,2,15,1.2453960214051818,4,0.5456344977949658
0.02,5,15,1.2453960214051818,4,0.5456344977949658
0.02,10,15,1.2453960214051818,5,-0.24969846403284052
0.04,1,15,1.2453960214051818,4,0.5456344977949658
0.04,2,15,1.2453960214051818,4,0.5456344977949658
0.04,5,15,1.2453960214051818,4,0.5456344977949658
0.04,10,15,1.2453960214051818,5,-0.24969846403284052
0.08,1,15,1.2453960214051818,4,0.5456344977949658
0.08,2,15,1.2453960214051818,4,0.5456344977949658
0.08,5,15,1.2453960214051818,4,0.5456344977949658
0.08,10,15,1.2453960214051818,5,-0.24969846403284052
